name,url,city,count
Электромонтер по ремонту и обслуживанию электрооборудования,https://enbek.kz/ru/vacancy/elektromonter-po-remontu-i-obsluzhivaniyu-elektrooborudovaniya~4857895,Астана,1
Главный бухгалтер,https://enbek.kz/ru/vacancy/glavnyi-bukhgalter-glavnyi-bukhgalter~4857893,Астана,1
Учитель русского языка и литературы,https://enbek.kz/ru/vacancy/orys-tili-men-adebieti-pani-mugalimi-orys-synybyna--3-birlik;-2.-orys-tili-men-adebieti-pani-mugalimi-kazak-synybyna---4-birlik;-uchitel-russkogo-yazyka-i-literatury~4857892,Алматы,1
Техник по обслуживанию компьютерных сетей и систем,https://enbek.kz/ru/vacancy/specialist-otdela-administrativnogo-obespecheniya-tekhnik-po-obsluzhivaniyu-kompyuternykh-setei-i-sistem~4857890,Астана,1
Лаборант химического анализа,https://enbek.kz/ru/vacancy/laborant-khimicheskogo-analiza~4857891,Астана,1
Педагог начальной школы,https://enbek.kz/ru/vacancy/1.-bastauysh-synyp-mugalimi-uakytsha-kazak-synybyna---2-birlik;-2.-bastauysh-synyp-mugalimi-kazak-synybyna---2-birlik;-3.-bastauysh-synyp-mugalimi-orys-synybyna--5-birlik;-pedagog-nachalnoi-shkoly~4857889,Алматы,1
Токарь,https://enbek.kz/ru/vacancy/tokar-karuselnogo-stanka-tokar~4857888,Астана,1
Эколог,https://enbek.kz/ru/vacancy/ekolog-ekolog~4857887,Атырау,1
Инженер-конструктор,https://enbek.kz/ru/vacancy/inzhener-konstruktor-inzhener-konstruktor~4857886,Петропавловск,1
Школьный специалист по социальной работе,https://enbek.kz/ru/vacancy/aleumettik-pedagog-uakytsha-bosanuga-deiingi-zhane-bosanudan-keiingi-demalyska-ketken-pedgogting-orny-shkolnyi-specialist-po-socialnoi-rabote~4857884,п.Гвардейский,1
Секретарь-референт,https://enbek.kz/ru/vacancy/sekretar-referent-sekretar-referent~4857883,Астана,1
"Главный специалист, Категория E-4","https://enbek.kz/ru/vacancy/glavnyi-specialist-strukturnogo-podrazdeleniya-po-obshchim-voprosam-kommunalnogo-gosudarstvennogo-uchrezhdeniya-«apparat-akima-zhambylskogo-raiona-severo-kazakhstanskoi-oblasti»-glavnyi-specialist,-kategoriya-e-4~4857882",Пресновка,1
Делопроизводитель,https://enbek.kz/ru/vacancy/deloproizvoditel~4857881,Аксу,1
Учитель географии,https://enbek.kz/ru/vacancy/geografiya-panining-mugalimi-orys-synybyna---1-birlik-uchitel-geografii~4857880,Алматы,1
"Главный специалист, Категория E-4","https://enbek.kz/ru/vacancy/glavnyi-specialist-po-mobilizacionnoi-podgotovke,-territorialnoi-oborone,-grazhdanskoi-zashchite-i-chrezvychainym-situaciyam-strukturnogo-podrazdeleniya-po-obshchim-voprosam-kommunalnogo-gosudarstvennogo-uchrezhdeniya-«apparat-akima-zhambylskogo-raiona-severo-kazakhsta-glavnyi-specialist,-kategoriya-e-4~4857879",Пресновка,1
Учитель изобразительного искусства,https://enbek.kz/ru/vacancy/uchitel-tekhnologii-uchitel-izobrazitelnogo-iskusstva~4857878,Алматы,1
Медицинская сестра (высокой квалификации),https://enbek.kz/ru/vacancy/medicinskaya-sestra-(vysokoi-kvalifikacii)~4857877,Экибастуз,1
Библиотекарь,https://enbek.kz/ru/vacancy/bibliotekar-bibliotekar~4857873,Алматы,1
Кассир,https://enbek.kz/ru/vacancy/prodavec-kassir~4857872,Тараз,1
Уборщик в школах,https://enbek.kz/ru/vacancy/tekhnichka-uborshchik-v-shkolakh~4857870,Алматы,1
Бухгалтер,https://enbek.kz/ru/vacancy/bukhgalter-v-shkole-bukhgalter~4857869,Алматы,1
Прачка (вручную),https://enbek.kz/ru/vacancy/operator-po-stirke-belya-prachka-(vruchnuyu)~4857868,Усть-Каменогорск,1
Делопроизводитель,https://enbek.kz/ru/vacancy/is-kagaz-zhyrgizushi-deloproizvoditel~4857867,Алматы,1
Учитель музыки,https://enbek.kz/ru/vacancy/muzykalnyi-rukovoditel-s-kazakhskim-yazykom-obucheniya-uchitel-muzyki~4857866,Жалтыр,1
Главный бухгалтер,https://enbek.kz/ru/vacancy/bukhgalter-v-shkole-glavnyi-bukhgalter~4857865,Алматы,1
Инженер по охране труда и технике безопасности,https://enbek.kz/ru/vacancy/inzhener-po-okhrane-truda-i-tekhnike-bezopasnosti~4857864,Карабулак,1
Методист,https://enbek.kz/ru/vacancy/metodist~4857863,Экибастуз,1
Преподаватель ритмики и хореографии,https://enbek.kz/ru/vacancy/prepodavatel-ritmiki-i-khoreografii~4857862,Усть-Каменогорск,1
Социальный педагог организации образования,https://enbek.kz/ru/vacancy/aleumettik-pedagog---1-socialnyi-pedagog-organizacii-obrazovaniya~4857861,Алматы,1
Техник-программист,https://enbek.kz/ru/vacancy/inzhener-po-novym-tekhnologiyam-tekhnik-programmist~4857859,Бухар-Жырауский район,1
Секретарь,https://enbek.kz/ru/vacancy/sekretar-sekretar~4857860,Жалтыр,1
Методист,https://enbek.kz/ru/vacancy/metodist~4857858,Усть-Каменогорск,1
Дворник,https://enbek.kz/ru/vacancy/dvornik-dvornik~4857855,Усть-Каменогорск,1
Академик - секретарь,https://enbek.kz/ru/vacancy/khatshy-akademik---sekretar~4857854,Жолек,1
Учитель математики (алгебра и геометрия),https://enbek.kz/ru/vacancy/uchitel-matematiki-(algebra-i-geometriya)~4857851,Айнабулак,1
Помощник воспитателя,https://enbek.kz/ru/vacancy/pomoshchnik-vospitatelya~4857850,Усть-Каменогорск,1
Дворник,https://enbek.kz/ru/vacancy/dvornik-v-dub.park-dvornik~4857849,Кордай,1
Специалист по кадрам,https://enbek.kz/ru/vacancy/specialist-otdela-kadrovoi-raboty-i-dokumentooborota-departamenta-administrativnoi-raboty-kadrovoe-obespechenie-na-otsutstviya-osnovnogo-rabotnika-specialist-po-kadram~4857848,Астана,1
Заведующий складом,https://enbek.kz/ru/vacancy/zaveduyushchii-skladom-zaveduyushchii-skladom~4857844,Алматы,1
Инженер на производстве,https://enbek.kz/ru/vacancy/specialist-otdela-po-soprovozhdeniyu-kapitalnogo-stroitelstva-inzhener-na-proizvodstve~4857839,Костанай,1
Фельдшер,https://enbek.kz/ru/vacancy/feldsher~4857834,Карабулак,1
Секретарь-референт,https://enbek.kz/ru/vacancy/sekretar-referent-sekretar-referent~4857833,Костанай,1
Аппаратчик  в производстве химической продукции,https://enbek.kz/ru/vacancy/apparatchik-proizvodstva-zheltogo-fosfora-po-obsluzhivaniyu-pylegazoulavlivayushchikh-ustanovok-apparatchik-v-proizvodstve-khimicheskoi-produkcii~4857831,Тараз,1
Дворник,https://enbek.kz/ru/vacancy/dvornik~4857830,Аксу,1
Учитель биологии,https://enbek.kz/ru/vacancy/biologiya-panining-mugalimi-orys-synypka-turakty-oryn-uchitel-biologii~4857829,Кордайский район,1
Дворник,https://enbek.kz/ru/vacancy/dvornik~4857828,Тараз,1
Сварщик,https://enbek.kz/ru/vacancy/svarshchik-svarshchik~4857826,Алматы,1
Агент по туризму,https://enbek.kz/ru/vacancy/rekreaciyalyk-zhane-turizm-mamany-agent-po-turizmu~4857825,Арысь,1
Разнорабочий,https://enbek.kz/ru/vacancy/raznorabochii~4857823,Айнабулак,1
Повар,https://enbek.kz/ru/vacancy/povar-goryachego-cekha-povar~4857822,Актобе,1
Водитель автомобиля,https://enbek.kz/ru/vacancy/voditel-pozharnoi-mashiny-voditel-avtomobilya~4857821,Бородулиха,1
Дорожный рабочий,https://enbek.kz/ru/vacancy/dorozhnyi-rabochii-dorozhnyi-rabochii~4857820,Красная,1
Врач анестезиолог и реаниматолог,https://enbek.kz/ru/vacancy/vrach-anesteziolog---reanimatolog-detskii-vrach-anesteziolog-i-reanimatolog~4857819,Узунколь,1
Врач общей практики,https://enbek.kz/ru/vacancy/vrach-obshchei-praktiki-vrach-obshchei-praktiki~4857818,Узунколь,1
Медицинская(ий) сестра/брат,https://enbek.kz/ru/vacancy/medicinskaya-sestra-ershovskogo-fapa-medicinskaya(ii)-sestra-brat~4857817,Ершовка,1
Воспитатель,https://enbek.kz/ru/vacancy/vospitatel-vospitatel~4857816,Кызылкайнар,1
Акушер(ка),https://enbek.kz/ru/vacancy/akusherka-akusher(ka)~4857815,Узунколь,1
Медицинская(ий) сестра/брат,https://enbek.kz/ru/vacancy/medicinskaya-sestra-medicinskaya(ii)-sestra-brat~4857813,Узунколь,1
