name,url,city,count
Бухгалтер в единственном лице в ТОО на упрощенном режиме с НДС и ТОО на розничном налоге,https://hh.ru/vacancy/121325449,Не указано,1
Водитель с личным автомобилем,https://hh.ru/vacancy/121371743,,1
Медицинская сестра/Медицинский брат,https://hh.ru/vacancy/121549491,Астана,1
Водитель,https://hh.ru/vacancy/121115703,Не указано,1
Администратор,https://hh.ru/vacancy/121376419,Астана,1
Менеджер-администратор,https://hh.ru/vacancy/121441951,Астана,1
HR специалист,https://hh.ru/vacancy/121490096,Не указано,1
"Учителя математики, музыки, информатики и физкультуры, русского и английского языков",https://hh.ru/vacancy/121517378,Астана,1
"Бортпроводник, г. Астана",https://hh.ru/vacancy/120925601,Не указано,1
Водитель руководителя,https://hh.ru/vacancy/121514956,Не указано,1
Менеджер Центра персонального сервиса,https://hh.ru/vacancy/121168815,Не указано,1
Маркетолог в стоматологию,https://hh.ru/vacancy/121415141,Астана,1
Стажёр Frontend-разработчик,https://hh.ru/vacancy/121515095,Астана,1
Водитель,https://hh.ru/vacancy/121378292,Астана,1
Кассир-бариста,https://hh.ru/vacancy/121401799,Астана,1
Сотрудник зала/Раннер,https://hh.ru/vacancy/120484873,Астана,1
Шеф-повар,https://hh.ru/vacancy/121381581,Не указано,1
Медицинская сестра/медицинский брат,https://hh.ru/vacancy/120747677,Астана,1
Начальник отдела информационных технологий,https://hh.ru/vacancy/121476517,Не указано,1
Менеджер смены,https://hh.ru/vacancy/121217762,Астана,1
Дежурный (охранник),https://hh.ru/vacancy/120583085,Астана,1
Продавец-консультант,https://hh.ru/vacancy/120057496,Астана,1
Начинающий HR менеджер,https://hh.ru/vacancy/121447356,Астана,1
Менеджер объекта BI Service,https://hh.ru/vacancy/121496481,Не указано,1
Менеджер по работе с клиентами (авиаперевозки),https://hh.ru/vacancy/121270532,Астана,1
Библиотекарь,https://hh.ru/vacancy/121379810,Астана,1
Администратор в массажный SPA-салон,https://hh.ru/vacancy/121522182,Астана,1
Руководитель юридической службы,https://hh.ru/vacancy/121449051,Астана,1
Менеджер по продажам,https://hh.ru/vacancy/120895960,Не указано,1
"Менеджер маркетплейсов OZON, TEEZ, WB, HALYK, Omarket",https://hh.ru/vacancy/121529385,Астана,1
Администратор-SMM в салон красоты,https://hh.ru/vacancy/120849126,Астана,1
Продавец-кассир,https://hh.ru/vacancy/121435696,Астана,1
"Продавец-консультант в детский книжный магазин COCOBEE (Улы Дала, 54)",https://hh.ru/vacancy/121468087,Астана,1
Администратор,https://hh.ru/vacancy/121231066,Не указано,1
Главный бухгалтер,https://hh.ru/vacancy/121470465,Астана,1
"Cпециалист по СМК (система менеджмента качества, ISO 9001)",https://hh.ru/vacancy/121257552,Не указано,1
Администратор салона красоты,https://hh.ru/vacancy/121410460,Астана,1
Семейный водитель,https://hh.ru/vacancy/120593458,Не указано,1
Продавец-консультант,https://hh.ru/vacancy/121333610,Астана,1
SMM-менеджер,https://hh.ru/vacancy/121460643,Астана,1
Кассир,https://hh.ru/vacancy/121514720,Астана,1
