name,count
Старший менеджер по закупу авиа- и железнодорожных билетов и оформления командировок,1
Администратор в детскую клинику,1
Процедурная медсестра/процедурный медбрат,1
Бренд - менеджер,1
Главный специалист по железнодорожным перевозкам,1
Secretary (Manager of Administrative Support),1
Продавец-консультант товаров для дома,1
Продавец-консультант в магазин детской обуви,1
Заместитель директора по практической работе,1
Менеджер (в офис),1
Frontend разработчик (React.js),1
Техник-связист,1
Оператор в SimRacing - Компьютерный клуб,1
Разработчик BPM,1
English Teacher (EAL teacher),1
Ведущий геолог,1
Администратор офиса в IT компанию,1
Специалист со знанием Autocad,1
Водитель со своим автомобилем,1
Программист 1С (ученик),1
Официант в Кафе Точка,1
Менеджер по работе с клиентами Whatsapp/Direct,1
СММ - менеджер,1
Офис-ассистент,1
"Frontend Web разработчик (React, NextJS) middle+/senior",1
Старший администратор ресторана,1
Дизайнер/верстальщик книг,1
Администратор торгового зала (автосалон),1
Управляющий бизнес-центром (менеджер административно -технического блока),1
Сотрудник-Бариста в кофейню,1
Менеджер по подбору персонала / рекрутер,1
Event-менеджер,1
Заместитель директора по складской и транспортной логистике,1
Графический дизайн и анализ данных,1
Водитель на своем автомобиле,1
Охранник БЦ,1
Администратор гостиницы,1
Видео-контент менеджер ( удаленная работа),1
Team Assistant / Ассистент руководителей,1
Администратор медицинского центра,1
Менеджер (IT специалист),1
Продавец-консультант (ТРЦ Хан Шатыр 0этаж),1
Кассир-оператор 1С,1
Оператор в киберспортивный клуб,1
"Флорист в цветочную студию ""ANÁ Flowers&Decor""",1
HR директор,1
Администратор клиники косметологии,1
Middle Frontend разработчик,1
Оператор по учету кег,1
Бренд-менеджер (строительство),1
Бариста/старший бариста,1
"Официант (раннер) в кафе Ет-Ет (Елубая Тайбекова, 14)",1
Ментор Английского языка,1
Шеф-повар в ресторан VAR VAR,1
Проектный менеджер,1
Дата-аналитик,1
Водитель-курьер на автомобиле компании,1
Продавец в премиум бутик,1
Директор комплекса,1
Продавец в фотомагазин,1
Помощник руководителя строительной компании,1
Администратор салон красоты,1
Менеджер отдела продаж (строительство),1
Account Manager,1
Преподаватель Английского Языка,1
Junior Brand Manager,1
Администратор магазина женской одежды,1
Программист .net,1
Официант бармен,1
Продавец-кассир / продавец-консультант в магазин одежды New Yorker (ТЦ Хан Шатыр),1
Преподаватель английского языка (для детей),1
Территориальный менеджер,1
Web PHP-разработчик,1
Вожатый в лагерь,1
Project manager - организатор мероприятий,1
Старший юрист,1
Монтажер,1
Директор магазина в магазин CORNELI,1
Оператор доставки (сборщик заказов),1
Преподаватель английского языка для детей,1
Директор ресторана,1
Менеджер ресторана в город Астана,1
Главный бухгалтер / Бухгалтер в одном лице,1
Начальник отдела по административным и хозяйственным вопросам,1
Главный бухгалтер в агропромышленный Холдинг,1
Заместитель директора по производству,1
Респешн,1
Продавец-консультант/кассир(ТРЦ Аружан),1
"Администратор в музыкальной школе, международная сеть",1
Архивариус,1
Fullstack-разработчик,1
Лаборант КДЛ,1
PR-специалист,1
Управляющий клиникой,1
Фасовщик - сортировщик,1
Водитель-Снабженец,1
Руководитель отдела маркетинга,1
Ассистент предпринимателя,1
Юрист по недропользованию,1
Продавец-консультант/кассир в MINISO (ТРЦ Mega Silk Way),1
Оператор отдела бронирования,1
Няня в ресторан Zina,1
Администратор фитнес-клуба,1
Оператор 1С,1
Управляющий столовой,1
Администратор ресепшен в отель,1
Оператор печати этикетов,1
HR Manager,1
Менеджер в пункт выдачи заказов,1
Администратор автоателье,1
Fullstack Senior C# Developer,1
Администратор в медцентр,1
Оператор на печатные станки,1
Продавец-консультант в бутик мужской одежды премиум-класса BUGATTI,1
Teaching Assistant,1
Помощник воспитателя в детский сад,1
Ассистент кастинг-директора (запись на кастинги по телефону),1
Художник оформитель/художник по росписи стен,1
Продавец-консультант магазина HUGO (Астана),1
Администратор автосалона INFINITI,1
Frontend Swift разработчик,1
Начальник службы безопасности,1
Водитель-курьер на автомобиле (Газель) компании в г. Астана,1
Технолог,1
Дизайнер интерьера,1
Кей аккаунт менеджер (Астана),1
Оператор игровых аттракционов и аппаратов,1
Инженер DevOps,1
Смм специалист / сторисмейкер,1
Кассир-оператор,1
Старший менеджер отдела кадров,1
Менеджер клиентского сервиса,1
Повар отеля,1
Главный менеджер Отдела документационного обеспечения и контроля (Офис-менеджер),1
Тестировщик программного обеспечения (QA),1
Ambassador бренда и продаж,1
Помощник HR-менеджера,1
Менеджер отдела кадров,1
React Developer,1
Аналитик-скриптолог (Junior) в IT-компанию,1
Начальник гаража,1
Главный бухгалтер предприятия,1
Сотрудник зала/Раннер,1
Администратор ресепшен INVICTUS HIGHVILL,1
Печатник-переплетчик в полиграфию,1
Менеджер по продажам / очень срочно,1
Продавец-консультант/кассир в MINISO (ТРЦ Азия Парк),1
Геолог,1
Формовщик на завод ЖБИ,1
Сборщик заказов зоотоваров для Kaspi,1
Оператор в Автосалон,1
Ассистент преподавателя в онлайн-школу,1
Помощник Юриста,1
Помощник администратора ресторана/Хостес,1
Младший инженер конструктор (КЖ),1
Хостес в ресторан KUZINA,1
"Менеджер по оформлению онлайн заказов (Керей-Жанибек, 30)",1
Оператор 1C супермаркет,1
Teaching Assistant (Primary school),1
Юрист по претензионно-исковой работе,1
Переводчик испанского/английского/китайского/корейского/грузинского,1
"Администратор в ""Astana Boxing Club""",1
Начинающий специалист по сопровождению 1С,1
Помощник фармацевта,1
Официант в ресторан Cafeteria Mega Silk Way,1
Куратор в центр развития подростков,1
Администратор салона,1
Помощник дизайнера,1
"Кассир-продавец на АЗС ""Nomad Oil"" на АЗС",1
Продавец-консультант SIA Fashion,1
Бариста Costa Coffee Yes Apart,1
Ассистент генерального директора,1
Сборщик заказов (марочница/марочник),1
Продавец - консультант,1
Продавец-консультант (ТРЦ Хан Шатыр),1
Специалист по кадрам,1
Оператор чата,1
Главный менеджер по финансам,1
Санитарка / санитар / техничка / уборщица / уборщик,1
Администратор в СПА салон,1
Помощник бармена/барбек,1
Администратор в детский сад,1
Уборщик,1
ГИП (Главный инженер проекта) - проектирование электростанций ПГУ,1
Официант в НОВЫЙ ресторан,1
"Заведующие складом в паре ,2 человека",1
"Преподаватель ИЗО (живопись, рисунок, ДПИ)",1
Официант BIG Apple,1
Маркетолог-копирайтер,1
Администратор Champion Fitness,1
Помощник маркетолога,1
Няня (Помощница-помощник воспитателя) в детский сад,1
Менеджер офиса поддержки участников,1
Бариста в ТLP Coffee (г. Астана),1
Редактор на новостной телеграм-канал,1
Материальный бухгалтер,1
PR-менеджер (Астана),1
Снабженец / Специалист по снабжению,1
Учитель рисования и лепки,1
Администратор в медицинский центр (оператор Call центра),1
Хостес-консуматор,1
Фармацевт в аптеку,1
Менеджер по продажам нефтепродуктов,1
Менеджер по продажам в интернет-магазин (район ЭКСПО),1
Администратор интернет и офлайн магазинов,1
Начальник склада,1
Бухгалтер по заработной плате,1
Комплаенс-офицер,1
Менеджер по продажам удаленно,1
Бармен/Официант,1
"Менеджер отдела продаж ОФФЛАЙН (чаты/звонки Whatsapp, Instagram)",1
Водитель на трал,1
Ассистент-помощник для менеджера WB,1
Помощник заведующего складом,1
Геолог/техник геолог со знанием английского языка,1
Личный ассистент руководителя,1
Администратор в центр коррекции фигуры,1
Электрик для сборки электрощитов,1
Frontend-разработчик (React),1
Smm специалист в бутик CASSAVA,1
Няня/помощница/помощник,1
Водитель-экспедитор (на машину компании),1
Дизайнер,1
Воспитатель в садик,1
Главный специалист отдела по управлению персоналом,1
Преподаватель английского языка (в онлайн школу),1
Аудитор,1
Региональный менеджер,1
Бариста в Кофейню,1
Администратор в тайский спа салон,1
Менеджер по работе с проектными Институтами,1
Руководитель Централизованной службы по контролю за закупками,1
Экспедитор,1
Официант в ресторан Дареджани Астана,1
Медсестра/медбрат в Центре иглотерапии,1
Няня на дому,1
Главный юрист,1
Продавец-консультант в магазин одежды (крытый рынок Central Market),1
Помощник бухгалтера материального стола,1
Проводник пассажирского вагона,1
HR-менеджер/HRG,1
Куратор в онлайн образовательный центр,1
Хореограф,1
Методист академического отдела,1
Бариста в кофейню Starbucks (Международный Аэропорт Нурсултан Назарбаев),1
Смм специалист/мобилограф,1
Оператор 1C,1
Менеджер по онлайн продажам,1
HR Specialist,1
Специалист по работе с гостями / Сотрудник ресепшен,1
Главный специалист по электроснабжению,1
Администратор в студию коррекции фигуры,1
